ranch,domain,year,application date,,material,amount (gal),nitrogen-lbs/acre,phosphorous-lbs/acre,potassium-lbs/acre,calcium-lbs/acre,magnesium-lbs/acre
phelps,fertilizer,2019,8/3/2019,nitrogen,18-3-3-2,450,20.84,3.47,3.47,2.32,0
phelps,fertilizer,2019,6/29/2019,potassium,2-0-12-2-11,900,4.88,0,29.27,4.88,26.83
phelps,fertilizer,2019,5/4/2019,,humega,750,,,,,
phelps,fertilizer,2018,5/5/2018,,humega,500,,,,,
phelps,fertilizer,2018,6/30/2018,nitrogen,18-3-3-2,300,,,,,
phelps,fertilizer,2018,6/2/2018,potassium,2-0-12-2-11,600,,,,,
phelps,fertilizer,2017,,nitrogen,18-3-3-2,0,,,,,
phelps,fertilizer,2017,,potassium,2-0-12-2-11,0,,,,,
phelps,fertilizer,2017,,,humega,0,,,,,
phelps,fertilizer,2016,3/5/2016,,humega,250,,,,,
phelps,fertilizer,2016,3/26/2016,,humega,250,,,,,
phelps,fertilizer,2016,4/16/2016,,humega,500,,,,,
phelps,fertilizer,2016,5/21/2016,nitrogen,18-3-3-2,300,,,,,
phelps,fertilizer,2016,6/18/2016,potassium,2-0-12-2-11,400,,,,,
phelps,fertilizer,2016,7/9/2016,potassium,2-0-12-2-11,400,,,,,
phelps,fertilizer,2016,7/30/2016,nitrogen,18-3-3-2,300,,,,,
phelps,fertilizer,2016,9/3/2016,potassium,2-0-12-2-11,400,,,,,
phelps,fertilizer,2015,4/11/2015,,humega,1000,,,,,
phelps,fertilizer,2015,6/13/2015,nitrogen,18-3-3-2,330,,,,,
phelps,fertilizer,2015,8/15/2015,nitrogen,18-3-3-2,330,,,,,
phelps,fertilizer,2015,7/18/2015,potassium,2-0-12-2-11,1000,,,,,
phelps,fertilizer,2014,4/6/2014,,humega,1000,,,,,
phelps,fertilizer,2014,4/27/2014,nitrogen,18-3-3-2,332,,,,,
phelps,fertilizer,2014,6/8/2014,potassium,2-0-12-2-11,1000,,,,,
phelps,fertilizer,2014,7/27/2014,nitrogen,18-3-3-2,335,,,,,
phelps,fertilizer,2013,4/19/2013,,humega,1000,,,,,
phelps,fertilizer,2013,6/21/2013,potassium,2-0-12-2-11,1000,,,,,
phelps,fertilizer,2013,9/8/2013,nitrogen,18-3-3-2,223,,,,,
phelps,fertilizer,2013,8/9/2013,nitrogen,18-3-3-2,223,,,,,
phelps,fertilizer,2012,5/25/2012,,humega,1000,,,,,
phelps,fertilizer,2012,7/13/2012,potassium,2-0-12-2-11,1100,,,,,
phelps,fertilizer,2012,9/7/2012,nitrogen,18-3-3-2,200,,,,,
phelps,fertilizer,2012,9/28/2012,nitrogen,18-3-3-2,200,,,,,
phelps,fertilizer,2011,5/16/2011,,humega,1000,,,,,
phelps,fertilizer,2011,6/27/2011,potassium,2-0-12-2-11,1000,,,,,
phelps,fertilizer,2011,8/22/2011,nitrogen,18-3-3-2,230,,,,,
phelps,fertilizer,2010,5/10/2010,,humega,1000,,,,,
phelps,fertilizer,2010,7/26/2010,potassium,2-0-12-2-11,1000,,,,,
phelps,fertilizer,2010,9/27/2010,nitrogen,18-3-3-2,400,,,,,