ranch,domain,location,year,report date,nitrateNitrogen-lbsAF,nitrateNitrogenRange,nitrogenRangeLow,nitrogenRangeHigh,phosphorousP2O5-lbsAF,P2O5RangeLow,P2O5RangeHigh,phosphorousP2O5Range,potassiumK2OExch-lbsAF,K2OExchLow,K2OExchHigh,potassiumK2OExchRange,potassiumK2OSol-lbsAF,K2OSolLow,K2OSolHigh,potassiumK2OSolRange,calciumExch-lbsAF,calciumExchRange,calciumSol-lbsAF,calciumSolRange,magnesiumExch-lbsAF,magnesiumExchRange,magnesiumSol-lbsAF,magnesiumSolRange,sodiumExch-lbsAF,soldiumExchRange,sodiumSol-lbsAF,soldiumSolRange,sulphate-lbsAF,sulfateRange,zinc-lbsAF,zincRange,manganese-lbsAF,manganeseRange,iron-lbsAF,ironRange,copper-lbsAF,copperRange,boron-lbsAF,boronRange,chloride-lbsAF,chlorideRange
phelps,soil,block4,2012,12/17/12,39.6,moderatelyLow,49,89,211,140,280,optimum,454,300,1800,optimum,74.9,110,480,moderatelyLow,10500,moderatelyHigh,460,optimum,1360,optimum,134,optimum,110,optimum,141,optimum,181,optimum,316,moderatelyHigh,24.8,optimum,39.2,moderatelyLow,8.4,optimum,0.68,moderatelyLow,135,optimum
phelps,soil,block5,2012,12/17/12,15.2,veryLow,52,92,202,140,280,optimum,448,280,1700,optimum,80.5,110,490,moderatelyLow,9460,optimum,424,optimum,1260,optimum,125,optimum,100,optimum,165,optimum,277,optimum,780,moderatelyHigh,20.4,optimum,44.8,moderatelyLow,24,optimum,0.68,moderatelyLow,99.3,optimum
phelps,soil,block6,2012,12/17/12,16.4,veryLow,50,90,202,140,280,optimum,620,260,1600,optimum,96.8,110,480,moderatelyLow,8660,optimum,383,optimum,1300,optimum,116,optimum,110,optimum,160,optimum,319,optimum,436,moderatelyHigh,24,optimum,66,optimum,29.2,optimum,0.68,moderatelyLow,101,optimum
phelps,soil,block7,2012,12/17/12,16.4,veryLow,39,79,247,140,280,optimum,671,240,1400,optimum,76.9,93,470,moderatelyLow,7690,optimum,269,optimum,1240,moderatelyHigh,83.6,optimum,120,optimum,148,optimum,191,optimum,344,moderatelyHigh,20.8,optimum,72,optimum,46.4,moderatelyHigh,0.8,moderatelyLow,82.3,optimum
phelps,soil,block8,2012,12/17/12,14.4,veryLow,47,87,202,140,280,optimum,578,290,1700,optimum,94.9,100,480,moderatelyLow,9780,optimum,411,optimum,1330,optimum,122,optimum,120,optimum,159,optimum,223,optimum,398,moderatelyHigh,22,optimum,55.6,optimum,6.4,optimum,0.56,moderatelyLow,79.4,optimum
phelps,soil,block4,2013,12/27/13,23.2,veryLow,49,89,119,140,280,moderatelyLow,490,300,1800,optimum,61,110,480,veryLow,10400,moderatelyHigh,412,optimum,1360,optimum,113,optimum,150,optimum,203,optimum,478,optimum,354,moderatelyHigh,34.4,optimum,40.8,moderatelyLow,27.6,optimum,0.64,moderatelyLow,196,optimum
phelps,soil,block5,2013,12/27/13,32.4,moderatelyLow,48,88,147,140,280,optimum,484,290,1700,optimum,78.2,110,480,moderatelyLow,10000,moderatelyHigh,507,optimum,1230,optimum,142,optimum,130,optimum,269,optimum,803,optimum,396,moderatelyHigh,20.4,optimum,51.2,optimum,20,optimum,0.56,moderatelyLow,295,optimum
phelps,soil,block6,2013,12/27/13,29.6,veryLow,54,94,156,140,280,optimum,547,290,1800,optimum,81.8,110,490,moderatelyLow,9860,optimum,616,optimum,1370,optimum,178,optimum,140,optimum,315,optimum,1090,optimum,404,moderatelyHigh,33.2,optimum,56.8,optimum,30.8,optimum,0.64,moderatelyLow,359,optimum
phelps,soil,block7,2013,12/27/13,44.4,moderatelyLow,50,90,220,140,280,optimum,738,290,1700,optimum,120,110,480,optimum,9540,optimum,620,optimum,1440,optimum,193,optimum,160,optimum,292,optimum,1090,optimum,338,moderatelyHigh,28,optimum,78.4,optimum,46,moderatelyHigh,0.8,moderatelyLow,325,optimum
phelps,soil,block8,2013,12/27/13,21.6,veryLow,52,92,128,140,280,moderatelyLow,567,320,1900,optimum,74.1,110,490,moderatelyLow,10700,optimum,433,optimum,1380,optimum,120,optimum,160,optimum,246,optimum,661,optimum,336,moderatelyHigh,26,optimum,46.8,moderatelyLow,4.8,optimum,0.56,moderatelyLow,250,optimum
phelps,soil,four,2016,11/11/16,27.2,veryLow,63,100,165,150,280,optimum,447,320,1900,optimum,82.5,120,500,veryLow,11200,moderatelyHigh,549,optimum,1350,optimum,142,optimum,100,optimum,165,optimum,586,optimum,212,moderatelyHigh,40,optimum,30,veryLow,8.4,optimum,0.88,moderatelyLow,132,optimum
phelps,soil,old,2016,11/11/16,120,moderatelyHigh,71,110,202,150,290,optimum,565,390,2400,optimum,131,140,510,moderatelyLow,13400,moderatelyHigh,777,moderatelyHigh,1830,optimum,242,optimum,120,optimum,184,optimum,640,optimum,740,moderatelyHigh,60.8,optimum,43.2,moderatelyLow,24.4,optimum,0.92,moderatelyLow,193,optimum
phelps,soil,long,2016,11/11/16,31.2,veryLow,58,98,339,140,280,moderatelyHigh,748,290,1800,optimum,196,120,500,optimum,9860,optimum,740,moderatelyHigh,1330,optimum,211,optimum,110,optimum,246,optimum,1500,optimum,330,moderatelyHigh,51.6,optimum,48.8,moderatelyLow,29.2,optimum,1.2,moderatelyLow,191,optimum
phelps,soil,wind30,2016,12/5/16,16.4,veryLow,50,90,92,140,280,moderatelyLow,478,320,1900,optimum,42.5,110,480,veryLow,11500,moderatelyHigh,256,optimum,1000,optimum,130,optimum,130,optimum,132,optimum,352,optimum,13.6,optimum,10.4,optimum,27.2,veryLow,2,optimum,0.36,moderatelyLow,76.6,optimum
phelps,soil,old30,2016,12/5/16,15.6,veryLow,36,76,202,140,270,optimum,993,200,1200,optimum,93.5,88,460,optimum,5850,optimum,167,optimum,1190,moderatelyHigh,52,moderatelyLow,120,optimum,108,optimum,257,optimum,10,optimum,18,optimum,46.4,optimum,4.4,optimum,0.64,moderatelyLow,39.7,optimum
phelps,soil,long30,2016,12/5/16,18.8,moderatelyLow,33,73,174,130,270,optimum,648,190,1200,optimum,71.1,84,460,moderatelyLow,6170,optimum,450,optimum,997,optimum,112,optimum,230,optimum,471,optimum,1370,optimum,20.8,optimum,12,optimum,51.2,optimum,2.4,optimum,0.4,moderatelyLow,264,optimum
phelps,soil,block4,2018,12/7/18,16.4,veryLow,39,79,110,140,280,moderatelyLow,352,220,1300,optimum,43,93,470,veryLow,7450,moderatelyHigh,390,optimum,933,optimum,93.8,optimum,130,optimum,221,optimum,482,optimum,110,optimum,19.2,optimum,44,optimum,14.4,optimum,0.6,moderatelyLow,146,optimum
phelps,soil,block5,2018,12/7/18,17.6,veryLow,37,77,192,140,270,optimum,373,200,1200,optimum,49.7,91,470,moderatelyLow,6650,optimum,477,optimum,992,optimum,119,optimum,140,optimum,246,optimum,561,optimum,161,optimum,20.4,optimum,56,optimum,29.2,optimum,0.48,moderatelyLow,350,optimum
phelps,soil,block6,2018,12/7/18,26.4,moderatelyLow,40,80,257,140,280,optimum,544,240,1400,optimum,67.2,94,470,moderatelyLow,8100,optimum,420,optimum,1120,optimum,105,optimum,110,optimum,170,optimum,373,optimum,215,moderatelyHigh,26.8,optimum,56.8,optimum,36,optimum,0.68,moderatelyLow,118,optimum
phelps,soil,block7,2018,12/7/18,13.6,veryLow,43,83,284,140,280,moderatelyHigh,541,220,1400,optimum,58.8,98,470,moderatelyLow,7530,optimum,377,optimum,1020,optimum,92.4,optimum,130,optimum,202,optimum,480,optimum,120,optimum,18.4,optimum,70.4,optimum,42.4,optimum,0.72,moderatelyLow,143,optimum
phelps,soil,block8,2018,12/7/18,29.6,moderatelyLow,44,84,147,140,280,optimum,534,280,1700,optimum,78.9,99,480,moderatelyLow,9700,moderatelyHigh,524,optimum,1050,optimum,119,optimum,140,optimum,244,optimum,624,optimum,86.8,optimum,22.8,optimum,66.4,optimum,4,optimum,0.76,moderatelyLow,179,optimum